# ID Naïve Ours Reduction
62a87e759363fc9f281b6aa2 7712 15 0.998054979
62a865499363fc9f281a858b 4280 13 0.996962617
62a94a5ce4d30af0fb908c52 14489 16 0.998895714
62a8a16fe30161692b680b64 8092 21 0.997404844
62a8b255e30161692b689205 4278 14 0.996727443
62a88f1f9363fc9f281bf948 8007 25 0.996877732
62a892ede30161692b679ce6 5833 17 0.997085548
62a86c059363fc9f281ac7af 8176 13 0.99840998
62a867779363fc9f281a9b38 6860 15 0.997813411
62a890d8e30161692b678a7c 7452 18 0.997584541
62a948ffe4d30af0fb907929 14671 14 0.999045736
62a947cbe4d30af0fb906b31 16464 24 0.998542274
62a87975e30161692b670acb 8393 19 0.997736209
62a8b2fee30161692b689704 17787 33 0.998144712
62a86c209363fc9f281ac87d 5284 28 0.994700984
62a8aa7ce30161692b6851cc 7003 16 0.997715265
62a876489363fc9f281b26c4 26155 13 0.999502963
62a8964c9363fc9f281c333a 16353 17 0.998960435
62a8a6bce30161692b683827 8279 30 0.996376374
62a9482ae4d30af0fb906f4b 28646 113 0.996055296
62a93a8ee4d30af0fb901eb9 16039 29 0.998191907
62a88723e30161692b675493 5833 16 0.997256986
62a8c182e30161692b68fd5e 5833 27 0.995371164
62a8a6cfe30161692b683883 12540 26 0.997926635
62a869dd9363fc9f281ab28d 3316 11 0.99668275
62a88d2e9363fc9f281be979 5833 18 0.996914109
62a8901fe30161692b6784ec 5833 23 0.996056918
62a8bc6ae30161692b68de74 8357 29 0.996529855
62a873b9e30161692b66ecad 8956 15 0.998325145
62a8ab50e30161692b685865 2802 13 0.995360457
62a893329363fc9f281c1791 16195 18 0.998888546
62a863349363fc9f281a6bf7 20627 73 0.996460949
62a936fae4d30af0fb900e7a 10243 30 0.997071171
62a869369363fc9f281aad18 12202 15 0.998770693
62a86761e30161692b66aa07 16227 36 0.997781475
62a87def9363fc9f281b6609 4973 30 0.993967424
62a94a63e4d30af0fb908ccc 10974 22 0.997995262
62a8a9c2e30161692b684bd9 5833 29 0.995028287
62a8850f9363fc9f281ba7f9 4868 23 0.995275267
62a88f019363fc9f281bf899 19439 34 0.998250939
62a89c03e30161692b67e418 9294 23 0.997525285
62a87dbd9363fc9f281b64a3 8103 36 0.995557201
62a862319363fc9f281a6263 5963 17 0.997149086
62a8819c9363fc9f281b85a8 18599 27 0.998548309
62a878309363fc9f281b3664 2923 8 0.997263086
62a88015e30161692b672e74 11315 19 0.998320813
62a87e939363fc9f281b6b8b 4724 15 0.996824725
62a894afe30161692b67ab8e 5833 17 0.997085548
62a87ee39363fc9f281b6e55 15956 21 0.998683881
62a8a42ce30161692b682334 6807 18 0.997355663
62a89958e30161692b67cd03 5833 18 0.996914109
62a851e7e30161692b6622e8 7978 16 0.997994485
62a8b32ee30161692b6898c6 2932 13 0.995566166
62a8ab88e30161692b685ad7 5833 26 0.995542602
62a88e2ce30161692b6779fe 5963 18 0.996981385
62a86eb89363fc9f281ae155 7782 23 0.997044462
